,id,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,revenue
0,1.0,0.0,0.0,0.0,0.0,5.0,81.08333333,0.04,0.1578389480601297,0.0,0.0,Dec,-0.14476028283205866,2.0,-0.8920793611674966,2.0,New_Visitor,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0,3.0,189.0,0.0030729885,0.5070798393026031,0.0,0.0,Mar,-0.14476028283205866,2.0,2.012325547837174,1.0,Returning_Visitor,0.0,0.0
2,3.0,0.0,0.0,1.0,132.0,8.0,445.0,0.0,-0.5905343813361195,0.0,0.0,Mar,-0.14476028283205866,2.0,0.352665599834505,14.0,Returning_Visitor,1.0,0.0
3,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,3.3010069063790324,0.0,0.0,Mar,-0.14476028283205866,8.0,-0.4771643741668294,1.0,Returning_Visitor,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0,4.0,14.0,0.1,2.2532842536060644,0.0,0.0,Mar,0.9657119312485322,2.0,-0.8920793611674966,1.0,Returning_Visitor,0.0,0.0
5,6.0,0.0,0.0,0.0,0.0,15.0,89.38333333,0.0,-0.627953041519596,39.6497508,0.0,Oct,-0.14476028283205866,2.0,1.1824955738358396,2.0,New_Visitor,1.0,1.0
6,7.0,4.0,33.0,0.0,0.0,35.0,702.9166667000002,0.0,-0.3660223783263541,0.0,0.0,Dec,-0.14476028283205866,1.0,-0.8920793611674966,2.0,New_Visitor,0.0,0.0
7,8.0,14.0,375.2785714,0.0,0.0,156.0,5432.836783,0.0030729885,-0.2806386607821353,2.992267778,1.0,May,-0.14476028283205866,2.0,1.1824955738358396,1.0,Returning_Visitor,1.0,0.0
8,9.0,2.0,102.0,0.0,0.0,16.0,502.8333333000001,0.0,-0.7967528115572199,0.0,0.0,Mar,-0.14476028283205866,2.0,0.352665599834505,2.0,Returning_Visitor,1.0,0.0
9,10.0,1.0,61.25,3.0,1083.0,14.0,2230.5,0.0,-0.6433607251245569,0.0,0.0,Dec,-0.14476028283205866,2.0,-0.8920793611674966,2.0,Returning_Visitor,0.0,0.0
10,11.0,0.0,0.0,0.0,0.0,10.0,83.41666667,0.0,-0.4242291970258419,0.0,0.0,Nov,-0.14476028283205866,1.0,-0.8920793611674966,2.0,Returning_Visitor,1.0,0.0
11,12.0,5.0,724.5,0.0,0.0,23.0,867.3333332999997,0.0,-0.8725659808029657,59.988,0.0,May,-0.14476028283205866,1.0,-0.06224938716616218,2.0,Returning_Visitor,0.0,1.0
12,13.0,0.0,0.0,0.0,0.0,6.0,189.0,0.066666667,1.5548024920755708,0.0,0.4,May,-0.14476028283205866,6.0,-0.8920793611674966,3.0,Returning_Visitor,0.0,0.0
13,14.0,1.0,512.5805785,4.0,211.0,61.0,2362.724563,0.005615082,-0.3763461763488117,27.61615655,0.0,Oct,-0.14476028283205866,1.0,-0.06224938716616218,1.0,Returning_Visitor,0.0,0.0
14,15.0,10.0,76.16666667,0.0,0.0,17.0,404.0,0.0,-0.3660223783263541,0.0,0.0,May,-1.2552324969126496,2.0,-0.4771643741668294,11.0,Returning_Visitor,1.0,0.0
15,16.0,0.0,0.0,0.0,0.0,7.0,140.45833330000002,0.028571429,-0.1714453202269324,0.0,0.0,Nov,-0.14476028283205866,3.0,2.4272405348378414,2.0,Returning_Visitor,0.0,0.0
16,17.0,1.0,0.0,1.0,0.0,65.0,3174.088455,0.017014925,-0.04037469250370782,0.0,0.0,Dec,-0.14476028283205866,2.0,-0.4771643741668294,13.0,Returning_Visitor,1.0,0.0
17,18.0,1.0,75.0,0.0,0.0,19.0,1773.375,0.011764706,-0.25303267760218756,28.11635484,0.0,Nov,-0.14476028283205866,2.0,-0.8920793611674966,13.0,Returning_Visitor,0.0,1.0
18,19.0,0.0,0.0,0.0,0.0,111.0,2805.038095,0.005405405,-0.08957576923237949,0.0,0.0,Aug,-0.14476028283205866,1.0,-0.06224938716616218,3.0,Returning_Visitor,1.0,0.0
19,20.0,1.0,5.5,0.0,0.0,22.0,339.25,0.0030729885,-0.3244460822487847,0.0,0.0,Mar,-0.14476028283205866,2.0,-0.4771643741668294,3.0,Returning_Visitor,0.0,0.0
20,21.0,2.0,45.5,0.0,0.0,22.0,535.0,0.0,-0.3660223783263541,9.650250036,0.0,Nov,-0.14476028283205866,2.0,-0.06224938716616218,11.0,Returning_Visitor,1.0,1.0
21,22.0,0.0,0.0,0.0,0.0,63.0,1320.189881,0.0,-0.8800689741729095,0.0,0.0,Nov,-0.14476028283205866,6.0,-0.8920793611674966,2.0,Returning_Visitor,0.0,0.0
22,23.0,9.0,79.0,1.0,0.0,55.0,1743.0666670000005,0.0,-0.7982795320523877,0.0,0.0,Mar,-0.14476028283205866,2.0,1.1824955738358396,2.0,Returning_Visitor,0.0,0.0
23,24.0,9.0,96.18666667,1.0,35.2,63.0,1345.136667,0.029166667,0.22671701056818766,2.10185027,0.0,Jul,-0.14476028283205866,2.0,2.4272405348378414,13.0,Returning_Visitor,0.0,0.0
24,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,3.3010069063790324,0.0,0.0,Mar,-0.14476028283205866,2.0,0.352665599834505,1.0,Returning_Visitor,0.0,0.0
25,26.0,0.0,0.0,0.0,0.0,59.0,1309.658333,0.0030729885,-0.2428237309369269,0.0,0.0,Dec,0.9657119312485322,2.0,-0.06224938716616218,1.0,Returning_Visitor,0.0,0.0
26,27.0,11.0,373.62,9.0,322.8,191.0,3677.258176,0.009105691,-0.38060797682904324,0.0,0.0,Aug,-0.14476028283205866,2.0,1.1824955738358396,1.0,Returning_Visitor,1.0,0.0
27,28.0,0.0,0.0,0.0,0.0,16.0,980.25,0.0,-0.051705582494463824,0.0,0.0,Mar,-0.14476028283205866,2.0,0.352665599834505,3.0,Returning_Visitor,0.0,0.0
28,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,-0.3660223783263541,0.0,0.0,May,-1.2552324969126496,1.0,-0.8920793611674966,3.0,Returning_Visitor,0.0,0.0
29,30.0,1.0,76.6,2.0,23.2,46.0,4598.433333,0.004255319,0.0909630416326147,10.72449269,0.0,Jul,-0.14476028283205866,2.0,-0.8920793611674966,1.0,Returning_Visitor,0.0,1.0
30,31.0,2.0,32.0,0.0,0.0,50.0,1245.3,0.004,-0.45682500124852693,7.146260888,0.0,Mar,-0.14476028283205866,2.0,1.5974105608365068,9.0,Returning_Visitor,1.0,0.0
